contract,comd,status,batch_count,tick_count,bars_match,bar_diff,times_match,volume_match,turnover_match,open_interest_match
AP2001,AP,ok,55479,55479,True,0,True,True,True,True
CF1505,CF,ok,32903,32903,True,0,True,True,True,True
AP1811,AP,ok,49263,49263,True,0,True,True,True,True
AP2010,AP,ok,55510,55510,True,0,True,True,True,True
AP2403,AP,ok,55404,55404,True,0,True,True,True,True
CF1201,CF,ok,5396,5396,True,0,True,True,True,True
AP1907,AP,ok,55024,55024,True,0,True,True,True,True
CF1503,CF,ok,34193,34193,True,0,True,True,True,True
CF1305,CF,ok,5456,5456,True,0,True,True,True,True
AP2603,AP,ok,32832,32832,True,0,True,True,True,True
AP2201,AP,ok,55343,55343,True,0,True,True,True,True
AP1912,AP,ok,55114,55114,True,0,True,True,True,True
AP2412,AP,ok,54948,54948,True,0,True,True,True,True
CF1501,CF,ok,4692,4692,True,0,True,True,True,True
AP2401,AP,ok,54993,54993,True,0,True,True,True,True
AP2103,AP,ok,54811,54811,True,0,True,True,True,True
AP1810,AP,ok,45220,45220,True,0,True,True,True,True
CF1303,CF,ok,18422,18422,True,0,True,True,True,True
AP1905,AP,ok,55708,55708,True,0,True,True,True,True
AP2304,AP,ok,55343,55343,True,0,True,True,True,True
AP2007,AP,ok,55220,55220,True,0,True,True,True,True
AP1903,AP,ok,55251,55251,True,0,True,True,True,True
AP2210,AP,ok,55343,55343,True,0,True,True,True,True
CF1411,CF,ok,13832,13832,True,0,True,True,True,True
AP2305,AP,ok,55343,55343,True,0,True,True,True,True
CF1301,CF,ok,4560,4560,True,0,True,True,True,True
AP2112,AP,ok,55281,55281,True,0,True,True,True,True
AP1911,AP,ok,55313,55313,True,0,True,True,True,True
CF1409,CF,ok,12115,12115,True,0,True,True,True,True
AP2312,AP,ok,55282,55282,True,0,True,True,True,True
AP2101,AP,ok,55205,55205,True,0,True,True,True,True
AP1807,AP,ok,30689,30689,True,0,True,True,True,True
CF1211,CF,ok,18697,18697,True,0,True,True,True,True
AP2005,AP,ok,55571,55571,True,0,True,True,True,True
AP2303,AP,ok,55343,55343,True,0,True,True,True,True
CF1407,CF,ok,39700,39700,True,0,True,True,True,True
AP1901,AP,ok,55403,55403,True,0,True,True,True,True
AP1805,AP,ok,20839,20839,True,0,True,True,True,True
AP2405,AP,ok,54689,54689,True,0,True,True,True,True
CF1009,CF,ok,228,228,True,0,True,True,True,True
CF1209,CF,ok,5092,5092,True,0,True,True,True,True
AP2205,AP,ok,54948,54948,True,0,True,True,True,True
AP2111,AP,ok,54826,54826,True,0,True,True,True,True
CF1405,CF,ok,6353,6353,True,0,True,True,True,True
AP1910,AP,ok,55313,55313,True,0,True,True,True,True
CF1105,CF,ok,3101,3101,True,0,True,True,True,True
CF1207,CF,ok,16340,16340,True,0,True,True,True,True
CF1109,CF,ok,2721,2721,True,0,True,True,True,True
CF1403,CF,ok,36667,36667,True,0,True,True,True,True
AP2510,AP,ok,54887,54887,True,0,True,True,True,True
AP2301,AP,ok,55176,55176,True,0,True,True,True,True
CF1205,CF,ok,5472,5472,True,0,True,True,True,True
AP2605,AP,ok,23256,23256,True,0,True,True,True,True
AP2204,AP,ok,55282,55282,True,0,True,True,True,True
AP2003,AP,ok,55129,55129,True,0,True,True,True,True
CF1401,CF,ok,6946,6946,True,0,True,True,True,True
AP2110,AP,ok,55176,55176,True,0,True,True,True,True
AP1812,AP,ok,54188,54188,True,0,True,True,True,True
CF1307,CF,ok,22697,22697,True,0,True,True,True,True
AP2311,AP,ok,55191,55191,True,0,True,True,True,True
AP2011,AP,ok,54506,54506,True,0,True,True,True,True
CF1311,CF,ok,18926,18926,True,0,True,True,True,True
AP2012,AP,ok,55085,55085,True,0,True,True,True,True
AP2212,AP,ok,55404,55404,True,0,True,True,True,True
AP2203,AP,ok,55342,55342,True,0,True,True,True,True
CF1107,CF,ok,9029,9029,True,0,True,True,True,True
CF1309,CF,ok,7995,7995,True,0,True,True,True,True
AP2310,AP,ok,55176,55176,True,0,True,True,True,True
AP2105,AP,ok,55343,55343,True,0,True,True,True,True
AP2404,AP,ok,54887,54887,True,0,True,True,True,True
CF1101,CF,ok,882,882,True,0,True,True,True,True
AP2512,AP,ok,46056,46056,True,0,True,True,True,True
AP2504,AP,ok,54065,54065,True,0,True,True,True,True
CF1703,CF,ok,84141,84141,True,0,True,True,True,True
CF1203,CF,ok,18575,18575,True,0,True,True,True,True
AP2211,AP,ok,55282,55282,True,0,True,True,True,True
AP2501,AP,ok,54917,54917,True,0,True,True,True,True
AP2604,AP,ok,28044,28044,True,0,True,True,True,True
AP2601,AP,ok,41040,41040,True,0,True,True,True,True
AP2505,AP,ok,55176,55176,True,0,True,True,True,True
CF1509,CF,ok,61262,61262,True,0,True,True,True,True
AP2411,AP,ok,55176,55176,True,0,True,True,True,True
AP2503,AP,ok,54948,54948,True,0,True,True,True,True
CF1609,CF,ok,84567,84567,True,0,True,True,True,True
CF1511,CF,ok,73249,73249,True,0,True,True,True,True
CF1803,CF,ok,84399,84399,True,0,True,True,True,True
CF1705,CF,ok,83399,83399,True,0,True,True,True,True
CF1903,CF,ok,82320,82320,True,0,True,True,True,True
CF1605,CF,ok,84446,84446,True,0,True,True,True,True
AP2410,AP,ok,54948,54948,True,0,True,True,True,True
CF1805,CF,ok,84430,84430,True,0,True,True,True,True
CF1701,CF,ok,84309,84309,True,0,True,True,True,True
CF1507,CF,ok,53886,53886,True,0,True,True,True,True
CF1111,CF,ok,9425,9425,True,0,True,True,True,True
CF1809,CF,ok,84779,84779,True,0,True,True,True,True
CF1801,CF,ok,84218,84218,True,0,True,True,True,True
CF1611,CF,ok,84309,84309,True,0,True,True,True,True
CF1911,CF,ok,83869,83869,True,0,True,True,True,True
CF1707,CF,ok,83686,83686,True,0,True,True,True,True
CF1601,CF,ok,84097,84097,True,0,True,True,True,True
AP2511,AP,ok,50616,50616,True,0,True,True,True,True
CF1603,CF,ok,84384,84384,True,0,True,True,True,True
CF1907,CF,ok,83443,83443,True,0,True,True,True,True
CF1807,CF,ok,84338,84338,True,0,True,True,True,True
CF1711,CF,ok,84338,84338,True,0,True,True,True,True
CF1811,CF,ok,84308,84308,True,0,True,True,True,True
CF2009,CF,ok,76351,76351,True,0,True,True,True,True
CF2003,CF,ok,80313,80313,True,0,True,True,True,True
CF2001,CF,ok,84309,84309,True,0,True,True,True,True
CF2503,CF,ok,83262,83262,True,0,True,True,True,True
CF1901,CF,ok,83960,83960,True,0,True,True,True,True
CF1709,CF,ok,83838,83838,True,0,True,True,True,True
CF2005,CF,ok,76928,76928,True,0,True,True,True,True
CF2207,CF,ok,83610,83610,True,0,True,True,True,True
CF1103,CF,ok,3344,3344,True,0,True,True,True,True
CF1607,CF,ok,84537,84537,True,0,True,True,True,True
CF2101,CF,ok,76700,76700,True,0,True,True,True,True
CF2201,CF,ok,83960,83960,True,0,True,True,True,True
CF2305,CF,ok,83959,83959,True,0,True,True,True,True
CF2103,CF,ok,79783,79783,True,0,True,True,True,True
CF1909,CF,ok,83399,83399,True,0,True,True,True,True
CF2403,CF,ok,84081,84081,True,0,True,True,True,True
CF2011,CF,ok,76351,76351,True,0,True,True,True,True
CJ1912,CJ,ok,34595,34595,True,0,True,True,True,True
CF2307,CF,ok,83960,83960,True,0,True,True,True,True
CF2301,CF,ok,83611,83611,True,0,True,True,True,True
CF2211,CF,ok,83747,83747,True,0,True,True,True,True
CF2209,CF,ok,83490,83490,True,0,True,True,True,True
CF2203,CF,ok,83959,83959,True,0,True,True,True,True
CJ2103,CJ,ok,54977,54977,True,0,True,True,True,True
CF2105,CF,ok,84081,84081,True,0,True,True,True,True
CF2603,CF,ok,49772,49772,True,0,True,True,True,True
CJ2109,CJ,ok,55509,55509,True,0,True,True,True,True
CJ2001,CJ,ok,40067,40067,True,0,True,True,True,True
CF2007,CF,ok,76579,76579,True,0,True,True,True,True
CF2601,CF,ok,62215,62215,True,0,True,True,True,True
CF2605,CF,ok,35356,35356,True,0,True,True,True,True
CF2205,CF,ok,83262,83262,True,0,True,True,True,True
CF2405,CF,ok,83732,83732,True,0,True,True,True,True
CJ2009,CJ,ok,54643,54643,True,0,True,True,True,True
CF2309,CF,ok,84081,84081,True,0,True,True,True,True
