contract,comd,status,batch_count,tick_count,bars_match,bar_diff,times_match,volume_match,turnover_match,open_interest_match
ss2308,ss,ok,23159,23159,True,0,True,True,True,True
TF1803,TF,ok,9724,9724,True,0,True,True,True,True
IC1903,IC,ok,7850,7850,True,0,True,True,True,True
FG2601,FG,ok,13015,13015,True,0,True,True,True,True
v2108,v,ok,16950,16950,True,0,True,True,True,True
SM2405,SM,ok,11616,11616,True,0,True,True,True,True
RO1201,RO,ok,283,283,True,0,True,True,True,True
ec2406,ec,ok,9744,9744,True,0,True,True,True,True
v1610,v,ok,2421,2421,True,0,True,True,True,True
SF1801,SF,ok,11671,11671,True,0,True,True,True,True
zn1205,zn,ok,11471,11471,True,0,True,True,True,True
wr1701,wr,ok,230,230,True,0,True,True,True,True
fb1606,fb,ok,811,811,True,0,True,True,True,True
rb1108,rb,ok,11357,11357,True,0,True,True,True,True
zn1806,zn,ok,23617,23617,True,0,True,True,True,True
pb1508,pb,ok,23359,23359,True,0,True,True,True,True
b2204,b,ok,17258,17258,True,0,True,True,True,True
p1507,p,ok,15998,15998,True,0,True,True,True,True
AP2303,AP,ok,11651,11651,True,0,True,True,True,True
PF2210,PF,ok,17417,17417,True,0,True,True,True,True
bu2108,bu,ok,9084,9084,True,0,True,True,True,True
c1103,c,ok,10572,10572,True,0,True,True,True,True
OI2109,OI,ok,17662,17662,True,0,True,True,True,True
T1703,T,ok,9536,9536,True,0,True,True,True,True
jm1309,jm,ok,5549,5549,True,0,True,True,True,True
sn2206,sn,ok,23131,23131,True,0,True,True,True,True
rb1703,rb,ok,17468,17468,True,0,True,True,True,True
rr2101,rr,ok,15373,15373,True,0,True,True,True,True
RS1808,RS,ok,10582,10582,True,0,True,True,True,True
UR2306,UR,ok,11712,11712,True,0,True,True,True,True
nr2501,nr,ok,17464,17464,True,0,True,True,True,True
al2002,al,ok,22738,22738,True,0,True,True,True,True
al2601,al,ok,17215,17215,True,0,True,True,True,True
CY2302,CY,ok,16593,16593,True,0,True,True,True,True
p1902,p,ok,16880,16880,True,0,True,True,True,True
TL2312,TL,ok,8187,8187,True,0,True,True,True,True
AP2011,AP,ok,11474,11474,True,0,True,True,True,True
rb1008,rb,ok,7248,7248,True,0,True,True,True,True
WH2201,WH,ok,9327,9327,True,0,True,True,True,True
MA2605,MA,ok,7396,7396,True,0,True,True,True,True
sp2112,sp,ok,17532,17532,True,0,True,True,True,True
eg2105,eg,ok,17563,17563,True,0,True,True,True,True
cu1802,cu,ok,23617,23617,True,0,True,True,True,True
MA2407,MA,ok,17443,17443,True,0,True,True,True,True
pg2601,pg,ok,12650,12650,True,0,True,True,True,True
pb1703,pb,ok,13917,13917,True,0,True,True,True,True
m1908,m,ok,16973,16973,True,0,True,True,True,True
fu2509,fu,ok,17418,17418,True,0,True,True,True,True
bb1606,bb,ok,428,428,True,0,True,True,True,True
rb1312,rb,ok,11274,11274,True,0,True,True,True,True
lu2404,lu,ok,17442,17442,True,0,True,True,True,True
l2208,l,ok,17418,17418,True,0,True,True,True,True
TA2307,TA,ok,17564,17564,True,0,True,True,True,True
OI1607,OI,ok,17238,17238,True,0,True,True,True,True
m1403,m,ok,11343,11343,True,0,True,True,True,True
TA1305,TA,ok,1328,1328,True,0,True,True,True,True
jm2002,jm,ok,16771,16771,True,0,True,True,True,True
SA2008,SA,ok,10537,10537,True,0,True,True,True,True
RI1307,RI,ok,9021,9021,True,0,True,True,True,True
jm2204,jm,ok,16845,16845,True,0,True,True,True,True
bb1706,bb,ok,227,227,True,0,True,True,True,True
c1901,c,ok,11625,11625,True,0,True,True,True,True
p1006,p,ok,3237,3237,True,0,True,True,True,True
ru2103,ru,ok,16683,16683,True,0,True,True,True,True
WH2407,WH,ok,4577,4577,True,0,True,True,True,True
v1804,v,ok,11179,11179,True,0,True,True,True,True
wr2201,wr,ok,9574,9574,True,0,True,True,True,True
RI1311,RI,ok,9517,9517,True,0,True,True,True,True
si2504,si,ok,10608,10608,True,0,True,True,True,True
RI1711,RI,ok,5785,5785,True,0,True,True,True,True
TA1102,TA,ok,922,922,True,0,True,True,True,True
lc2507,lc,ok,11615,11615,True,0,True,True,True,True
ME1407,ME,ok,6214,6214,True,0,True,True,True,True
rb1601,rb,ok,17660,17660,True,0,True,True,True,True
TA1711,TA,ok,17617,17617,True,0,True,True,True,True
y2307,y,ok,17516,17516,True,0,True,True,True,True
rr2001,rr,ok,7068,7068,True,0,True,True,True,True
a2005,a,ok,16080,16080,True,0,True,True,True,True
v1008,v,ok,3672,3672,True,0,True,True,True,True
ru1003,ru,ok,2208,2208,True,0,True,True,True,True
zn2408,zn,ok,23277,23277,True,0,True,True,True,True
TF2209,TF,ok,9671,9671,True,0,True,True,True,True
PR2601,PR,ok,13014,13014,True,0,True,True,True,True
ZC1902,ZC,ok,17216,17216,True,0,True,True,True,True
