comd,auction_time,opening_time,closing_time
AP,,09:00:00,10:15:00
AP,,10:30:00,11:30:00
AP,,13:30:00,15:00:00
APC,,09:00:00,10:15:00
APC,,10:30:00,11:30:00
APC,,13:30:00,15:00:00
APP,,09:00:00,10:15:00
APP,,10:30:00,11:30:00
APP,,13:30:00,15:00:00
CF,,21:00:00,23:00:00
CF,,09:00:00,10:15:00
CF,,10:30:00,11:30:00
CF,,13:30:00,15:00:00
CFC,,21:00:00,23:00:00
CFC,,09:00:00,10:15:00
CFC,,10:30:00,11:30:00
CFC,,13:30:00,15:00:00
CFP,,21:00:00,23:00:00
CFP,,09:00:00,10:15:00
CFP,,10:30:00,11:30:00
CFP,,13:30:00,15:00:00
CJ,,09:00:00,10:15:00
CJ,,10:30:00,11:30:00
CJ,,13:30:00,15:00:00
CJC,,09:00:00,10:15:00
CJC,,10:30:00,11:30:00
CJC,,13:30:00,15:00:00
CJP,,09:00:00,10:15:00
CJP,,10:30:00,11:30:00
CJP,,13:30:00,15:00:00
CY,,21:00:00,23:00:00
CY,,09:00:00,10:15:00
CY,,10:30:00,11:30:00
CY,,13:30:00,15:00:00
FG,,21:00:00,23:00:00
FG,,09:00:00,10:15:00
FG,,10:30:00,11:30:00
FG,,13:30:00,15:00:00
FGC,,21:00:00,23:00:00
FGC,,09:00:00,10:15:00
FGC,,10:30:00,11:30:00
FGC,,13:30:00,15:00:00
FGP,,21:00:00,23:00:00
FGP,,09:00:00,10:15:00
FGP,,10:30:00,11:30:00
FGP,,13:30:00,15:00:00
HO,09:25:00,09:30:00,11:30:00
HO,,13:00:00,15:00:00
IC,09:25:00,09:30:00,11:30:00
IC,,13:00:00,15:00:00
IF,09:25:00,09:30:00,11:30:00
IF,,13:00:00,15:00:00
IH,09:25:00,09:30:00,11:30:00
IH,,13:00:00,15:00:00
IM,09:25:00,09:30:00,11:30:00
IM,,13:00:00,15:00:00
IO,09:25:00,09:30:00,11:30:00
IO,,13:00:00,15:00:00
JR,,09:00:00,10:15:00
JR,,10:30:00,11:30:00
JR,,13:30:00,15:00:00
LR,,09:00:00,10:15:00
LR,,10:30:00,11:30:00
LR,,13:30:00,15:00:00
MA,,21:00:00,23:00:00
MA,,09:00:00,10:15:00
MA,,10:30:00,11:30:00
MA,,13:30:00,15:00:00
MAC,,21:00:00,23:00:00
MAC,,09:00:00,10:15:00
MAC,,10:30:00,11:30:00
MAC,,13:30:00,15:00:00
MAP,,21:00:00,23:00:00
MAP,,09:00:00,10:15:00
MAP,,10:30:00,11:30:00
MAP,,13:30:00,15:00:00
MO,09:25:00,09:30:00,11:30:00
MO,,13:00:00,15:00:00
OI,,21:00:00,23:00:00
OI,,09:00:00,10:15:00
OI,,10:30:00,11:30:00
OI,,13:30:00,15:00:00
OIC,,21:00:00,23:00:00
OIC,,09:00:00,10:15:00
OIC,,10:30:00,11:30:00
OIC,,13:30:00,15:00:00
OIP,,21:00:00,23:00:00
OIP,,09:00:00,10:15:00
OIP,,10:30:00,11:30:00
OIP,,13:30:00,15:00:00
PF,,21:00:00,23:00:00
PF,,09:00:00,10:15:00
PF,,10:30:00,11:30:00
PF,,13:30:00,15:00:00
PFC,,21:00:00,23:00:00
PFC,,09:00:00,10:15:00
PFC,,10:30:00,11:30:00
PFC,,13:30:00,15:00:00
PFP,,21:00:00,23:00:00
PFP,,09:00:00,10:15:00
PFP,,10:30:00,11:30:00
PFP,,13:30:00,15:00:00
PK,,09:00:00,10:15:00
PK,,10:30:00,11:30:00
PK,,13:30:00,15:00:00
PKC,,09:00:00,10:15:00
PKC,,10:30:00,11:30:00
PKC,,13:30:00,15:00:00
PKP,,09:00:00,10:15:00
PKP,,10:30:00,11:30:00
PKP,,13:30:00,15:00:00
PL,,21:00:00,23:00:00
PL,,09:00:00,10:15:00
PL,,10:30:00,11:30:00
PL,,13:30:00,15:00:00
PLC,,21:00:00,23:00:00
PLC,,09:00:00,10:15:00
PLC,,10:30:00,11:30:00
PLC,,13:30:00,15:00:00
PLP,,21:00:00,23:00:00
PLP,,09:00:00,10:15:00
PLP,,10:30:00,11:30:00
PLP,,13:30:00,15:00:00
PM,,09:00:00,10:15:00
PM,,10:30:00,11:30:00
PM,,13:30:00,15:00:00
PR,,21:00:00,23:00:00
PR,,09:00:00,10:15:00
PR,,10:30:00,11:30:00
PR,,13:30:00,15:00:00
PRC,,21:00:00,23:00:00
PRC,,09:00:00,10:15:00
PRC,,10:30:00,11:30:00
PRC,,13:30:00,15:00:00
PRP,,21:00:00,23:00:00
PRP,,09:00:00,10:15:00
PRP,,10:30:00,11:30:00
PRP,,13:30:00,15:00:00
PX,,21:00:00,23:00:00
PX,,09:00:00,10:15:00
PX,,10:30:00,11:30:00
PX,,13:30:00,15:00:00
PXC,,21:00:00,23:00:00
PXC,,09:00:00,10:15:00
PXC,,10:30:00,11:30:00
PXC,,13:30:00,15:00:00
PXP,,21:00:00,23:00:00
PXP,,09:00:00,10:15:00
PXP,,10:30:00,11:30:00
PXP,,13:30:00,15:00:00
RI,,09:00:00,10:15:00
RI,,10:30:00,11:30:00
RI,,13:30:00,15:00:00
RM,,21:00:00,23:00:00
RM,,09:00:00,10:15:00
RM,,10:30:00,11:30:00
RM,,13:30:00,15:00:00
RMC,,21:00:00,23:00:00
RMC,,09:00:00,10:15:00
RMC,,10:30:00,11:30:00
RMC,,13:30:00,15:00:00
RMP,,21:00:00,23:00:00
RMP,,09:00:00,10:15:00
RMP,,10:30:00,11:30:00
RMP,,13:30:00,15:00:00
RS,,09:00:00,10:15:00
RS,,10:30:00,11:30:00
RS,,13:30:00,15:00:00
SA,,21:00:00,23:00:00
SA,,09:00:00,10:15:00
SA,,10:30:00,11:30:00
SA,,13:30:00,15:00:00
SAC,,21:00:00,23:00:00
SAC,,09:00:00,10:15:00
SAC,,10:30:00,11:30:00
SAC,,13:30:00,15:00:00
SAP,,21:00:00,23:00:00
SAP,,09:00:00,10:15:00
SAP,,10:30:00,11:30:00
SAP,,13:30:00,15:00:00
